"GRD_FIXID","GRD_FLOAID","GRD_NEWID","SHAPE_Leng","SHAPE_Area","TOT_P","TOT_F","TOT_M"
"4.0.38030000.31220000","3803.3122.4","1kmN3122E3803",4000,1000000,48,24,24
"4.0.38030000.31230000","3803.3123.4","1kmN3123E3803",4000,1000000,263,129,134
"4.0.38030000.31240000","3803.3124.4","1kmN3124E3803",4000,1000000,16,7,9
"4.0.38030000.31250000","3803.3125.4","1kmN3125E3803",4000,1000000,95,45,50
"4.0.38030000.31260000","3803.3126.4","1kmN3126E3803",4000,1000000,319,158,161
"4.0.38030000.31270000","3803.3127.4","1kmN3127E3803",4000,1000000,30,17,13
"4.0.38030000.31280000","3803.3128.4","1kmN3128E3803",4000,1000000,5,3,2
"4.0.38030000.31290000","3803.3129.4","1kmN3129E3803",4000,1000000,13,7,6
"4.0.38030000.31300000","3803.3130.4","1kmN3130E3803",4000,1000000,13,7,6
"4.0.38030000.31310000","3803.3131.4","1kmN3131E3803",4000,1000000,1,0,1
"4.0.38030000.31320000","3803.3132.4","1kmN3132E3803",4000,1000000,253,135,118
"4.0.38030000.31330000","3803.3133.4","1kmN3133E3803",4000,1000000,1476,755,721
"4.0.38030000.31340000","3803.3134.4","1kmN3134E3803",4000,1000000,256,133,123
"4.0.38030000.31350000","3803.3135.4","1kmN3135E3803",4000,1000000,2041,1110,931
"4.0.38030000.31360000","3803.3136.4","1kmN3136E3803",4000,1000000,1860,951,909
"4.0.38030000.31370000","3803.3137.4","1kmN3137E3803","2970,93028696","429731,258203",0,0,0
"4.0.38040000.31030000","3804.3103.4","1kmN3103E3804","2873,31461749","479069,048381",7,2,5
"4.0.38040000.31040000","3804.3104.4","1kmN3104E3804",4000,1000000,23,10,13
"4.0.38040000.31050000","3804.3105.4","1kmN3105E3804",4000,1000000,64,30,34
"4.0.38040000.31060000","3804.3106.4","1kmN3106E3804",4000,1000000,33,17,16
"4.0.38040000.31070000","3804.3107.4","1kmN3107E3804",4000,1000000,37,16,21
"4.0.38040000.31080000","3804.3108.4","1kmN3108E3804",4000,1000000,42,16,26
"4.0.38040000.31090000","3804.3109.4","1kmN3109E3804",4000,1000000,53,23,30
"4.0.38040000.31100000","3804.3110.4","1kmN3110E3804",4000,1000000,39,17,22
"4.0.38040000.31110000","3804.3111.4","1kmN3111E3804",4000,1000000,51,32,19
"4.0.38040000.31120000","3804.3112.4","1kmN3112E3804",4000,1000000,121,54,67
"4.0.38040000.31130000","3804.3113.4","1kmN3113E3804",4000,1000000,82,34,48
"4.0.38040000.31140000","3804.3114.4","1kmN3114E3804",4000,1000000,36,19,17
"4.0.38040000.31150000","3804.3115.4","1kmN3115E3804",4000,1000000,60,27,33
"4.0.38040000.31160000","3804.3116.4","1kmN3116E3804",4000,1000000,30,14,16
"4.0.38040000.31170000","3804.3117.4","1kmN3117E3804",4000,1000000,154,75,79
"4.0.38040000.31180000","3804.3118.4","1kmN3118E3804",4000,1000000,127,60,67
"4.0.38040000.31190000","3804.3119.4","1kmN3119E3804",4000,1000000,20,9,11
"4.0.38040000.31200000","3804.3120.4","1kmN3120E3804",4000,1000000,45,24,21
"4.0.38040000.31210000","3804.3121.4","1kmN3121E3804",4000,1000000,15,8,7
"4.0.38040000.31220000","3804.3122.4","1kmN3122E3804",4000,1000000,107,53,54
"4.0.38040000.31230000","3804.3123.4","1kmN3123E3804",4000,1000000,134,66,68
"4.0.38040000.31240000","3804.3124.4","1kmN3124E3804",4000,1000000,7,2,5
"4.0.38040000.31250000","3804.3125.4","1kmN3125E3804",4000,1000000,29,12,17
"4.0.38040000.31260000","3804.3126.4","1kmN3126E3804",4000,1000000,26,13,13
"4.0.38040000.31270000","3804.3127.4","1kmN3127E3804",4000,1000000,6,1,5
"4.0.38040000.31280000","3804.3128.4","1kmN3128E3804",4000,1000000,16,8,8
